application_type,homeownership,interest_rate,loan_amount
joint,MORTGAGE,19.03,11500
individual,MORTGAGE,14.07,25000
individual,MORTGAGE,6.72,13150
individual,MORTGAGE,5.31,4000
individual,MORTGAGE,9.44,40000
individual,RENT,6.08,9000
individual,OWN,18.45,20000
individual,MORTGAGE,10.9,4200
individual,OWN,14.08,20000
individual,MORTGAGE,9.93,25000
joint,RENT,10.9,23000
individual,RENT,15.05,24000
individual,RENT,7.35,24000
joint,RENT,26.3,30150
joint,RENT,5.31,40000
individual,MORTGAGE,9.93,20000
joint,MORTGAGE,18.06,24000
joint,MORTGAGE,10.9,8000
joint,MORTGAGE,7.97,10000
individual,RENT,9.93,15000
individual,MORTGAGE,7.35,6300
individual,MORTGAGE,14.08,35000
individual,MORTGAGE,10.91,38000
individual,MORTGAGE,19.03,5300
individual,OWN,7.35,10000
individual,OWN,10.42,20000
individual,RENT,16.02,14000
individual,MORTGAGE,21.45,28000
joint,MORTGAGE,13.58,8000
individual,MORTGAGE,14.08,6700
individual,RENT,7.34,8000
individual,MORTGAGE,16.02,25000
individual,OWN,9.44,15000
individual,RENT,12.62,27200
individual,RENT,7.35,6600
individual,MORTGAGE,6.07,16600
joint,RENT,9.93,9000
individual,MORTGAGE,9.43,10000
individual,OWN,5.31,9000
individual,RENT,17.09,16000
joint,MORTGAGE,9.93,16000
joint,RENT,19.03,30000
individual,MORTGAGE,17.47,35000
individual,RENT,7.34,9000
individual,MORTGAGE,6.72,11000
individual,OWN,6.72,16000
individual,MORTGAGE,10.91,14000
individual,RENT,16.02,21000
individual,MORTGAGE,6.72,25000
individual,OWN,9.93,3000
individual,MORTGAGE,21.45,35000
individual,RENT,12.61,35000
individual,MORTGAGE,21.45,35000
individual,RENT,11.99,10000
individual,OWN,6.08,18000
individual,RENT,18.45,17000
individual,RENT,24.85,1200
individual,MORTGAGE,14.08,20000
joint,MORTGAGE,15.05,20000
individual,MORTGAGE,9.43,40000
joint,MORTGAGE,6.72,15600
individual,MORTGAGE,6.71,8000
individual,RENT,9.44,20000
individual,RENT,9.44,3000
joint,MORTGAGE,10.42,32000
individual,RENT,30.65,2200
individual,MORTGAGE,9.93,5000
individual,OWN,9.43,10000
joint,RENT,9.44,13000
joint,MORTGAGE,11.99,16000
individual,MORTGAGE,21.85,24000
individual,RENT,13.58,30000
individual,RENT,7.35,6600
individual,MORTGAGE,7.97,10500
individual,MORTGAGE,25.82,20000
individual,MORTGAGE,9.43,3800
individual,RENT,14.07,20000
joint,MORTGAGE,20.0,18000
individual,OWN,9.43,40000
individual,MORTGAGE,14.08,1200
individual,MORTGAGE,15.05,30000
joint,MORTGAGE,9.92,15000
joint,MORTGAGE,14.08,23525
individual,OWN,13.58,20000
individual,RENT,18.06,17000
individual,OWN,10.42,30000
individual,MORTGAGE,16.02,2800
individual,RENT,20.0,10000
individual,MORTGAGE,12.62,12000
joint,MORTGAGE,9.93,25000
individual,MORTGAGE,18.45,10000
individual,OWN,6.08,3600
individual,OWN,9.43,1675
individual,OWN,10.42,16000
individual,MORTGAGE,16.02,8500
joint,MORTGAGE,11.98,20000
individual,MORTGAGE,19.42,8000
individual,RENT,10.91,30000
individual,RENT,21.45,20000
joint,MORTGAGE,25.81,2500
individual,OWN,7.96,40000
joint,MORTGAGE,30.17,19950
joint,MORTGAGE,12.62,26250
individual,MORTGAGE,10.91,20000
individual,OWN,11.99,40000
individual,MORTGAGE,7.97,18000
individual,OWN,7.34,3000
individual,OWN,12.62,10000
individual,MORTGAGE,6.72,5000
individual,MORTGAGE,15.04,15000
individual,OWN,6.08,9600
individual,RENT,11.98,16000
individual,RENT,12.61,5000
individual,MORTGAGE,21.45,13850
individual,RENT,10.42,2000
individual,OWN,14.08,12000
individual,RENT,9.44,11200
individual,RENT,10.41,7200
individual,MORTGAGE,12.62,7500
joint,RENT,19.03,10000
joint,MORTGAGE,9.44,25000
individual,RENT,10.9,5000
joint,MORTGAGE,24.85,25000
individual,RENT,9.44,13200
individual,RENT,10.42,1600
joint,MORTGAGE,14.07,20000
joint,MORTGAGE,9.44,40000
individual,RENT,12.61,3200
individual,MORTGAGE,6.08,15000
individual,MORTGAGE,6.08,18000
individual,RENT,16.02,10000
individual,RENT,15.04,10000
individual,MORTGAGE,5.31,10000
individual,RENT,20.0,8400
individual,OWN,20.39,19000
individual,MORTGAGE,9.43,9000
individual,MORTGAGE,9.93,15000
individual,MORTGAGE,12.62,24450
individual,RENT,13.59,18000
joint,OWN,7.35,11000
individual,MORTGAGE,10.9,12000
individual,MORTGAGE,9.93,21000
individual,RENT,10.91,2000
individual,RENT,10.9,8000
individual,RENT,16.02,21000
individual,MORTGAGE,20.0,3000
individual,RENT,24.85,20000
individual,RENT,28.72,20000
individual,MORTGAGE,6.72,18000
individual,MORTGAGE,14.08,10000
individual,RENT,9.93,5000
individual,OWN,12.62,20000
individual,MORTGAGE,6.72,40000
individual,MORTGAGE,7.35,29000
joint,OWN,10.91,3000
individual,RENT,16.02,24000
individual,MORTGAGE,9.93,20000
individual,MORTGAGE,18.06,1500
joint,MORTGAGE,9.93,30000
joint,MORTGAGE,17.09,5000
individual,RENT,7.35,9550
individual,RENT,12.62,10000
joint,MORTGAGE,9.93,15000
individual,OWN,21.85,14400
individual,RENT,9.44,15000
individual,RENT,10.9,30000
individual,MORTGAGE,20.0,20000
individual,RENT,13.59,8000
individual,MORTGAGE,9.93,14400
individual,RENT,9.93,24000
individual,MORTGAGE,7.96,8500
individual,MORTGAGE,21.45,28000
individual,MORTGAGE,24.85,16000
joint,MORTGAGE,17.09,9000
individual,OWN,21.45,12000
individual,RENT,11.99,24000
individual,MORTGAGE,13.58,28000
joint,RENT,19.03,8000
individual,MORTGAGE,7.97,28000
individual,OWN,7.35,13000
individual,MORTGAGE,22.91,5575
individual,MORTGAGE,9.93,8000
individual,OWN,6.71,27000
joint,MORTGAGE,6.07,15000
individual,MORTGAGE,10.42,40000
individual,MORTGAGE,12.61,6000
individual,RENT,16.01,11000
individual,MORTGAGE,6.07,12000
individual,MORTGAGE,6.08,6500
individual,RENT,15.05,20000
individual,RENT,7.96,2500
individual,MORTGAGE,15.04,24000
individual,MORTGAGE,6.08,10000
joint,RENT,14.08,20000
individual,RENT,11.99,11000
individual,RENT,10.9,8000
individual,RENT,13.58,7800
joint,RENT,10.91,9000
individual,OWN,9.93,30000
individual,OWN,19.03,8000
individual,RENT,10.41,10000
individual,MORTGAGE,9.43,12000
individual,RENT,18.06,7000
individual,RENT,12.62,20000
individual,RENT,12.62,25000
individual,MORTGAGE,14.08,9000
individual,OWN,6.71,6000
joint,RENT,14.08,25600
individual,RENT,11.99,11000
individual,RENT,21.45,30000
individual,MORTGAGE,16.01,3500
individual,RENT,6.71,12000
individual,OWN,12.61,25000
individual,MORTGAGE,13.58,10000
individual,OWN,7.35,16000
individual,OWN,17.47,3000
individual,RENT,21.45,30000
individual,OWN,11.98,7200
individual,RENT,15.05,12000
individual,RENT,11.98,1000
individual,MORTGAGE,6.72,7200
individual,MORTGAGE,15.05,32000
joint,MORTGAGE,20.39,16000
individual,RENT,16.02,5000
joint,MORTGAGE,5.32,40000
individual,RENT,7.35,40000
joint,MORTGAGE,10.42,35000
individual,RENT,16.02,5000
individual,RENT,6.07,1800
individual,RENT,19.03,5000
individual,RENT,6.71,35000
individual,MORTGAGE,6.72,8000
individual,OWN,18.45,6025
joint,MORTGAGE,16.02,38375
individual,MORTGAGE,9.44,5000
individual,RENT,22.91,4000
individual,RENT,6.08,6500
individual,MORTGAGE,9.92,5000
individual,MORTGAGE,12.62,30000
individual,MORTGAGE,12.62,20800
individual,MORTGAGE,21.45,9000
individual,OWN,6.08,1500
individual,MORTGAGE,17.47,20000
individual,OWN,11.98,28000
individual,RENT,15.05,15000
individual,RENT,16.02,6000
individual,MORTGAGE,10.91,3600
individual,RENT,7.97,12000
individual,RENT,14.07,4000
joint,MORTGAGE,24.85,24000
individual,MORTGAGE,13.58,18000
individual,RENT,9.93,32000
individual,RENT,6.08,10000
individual,MORTGAGE,7.35,24000
joint,RENT,15.04,1925
joint,MORTGAGE,9.44,9000
individual,OWN,12.61,10000
individual,MORTGAGE,11.98,20000
individual,RENT,12.61,10000
individual,RENT,6.71,7300
individual,OWN,20.39,24000
individual,MORTGAGE,9.43,19000
individual,OWN,22.91,9600
individual,OWN,16.02,21000
individual,MORTGAGE,10.42,28000
individual,RENT,20.39,20000
individual,RENT,12.61,10000
individual,RENT,15.04,12000
individual,RENT,6.08,15000
joint,MORTGAGE,18.06,20000
individual,MORTGAGE,10.91,12000
individual,RENT,7.34,16000
individual,MORTGAGE,6.72,40000
individual,RENT,15.05,2000
individual,MORTGAGE,5.32,40000
individual,RENT,6.72,20000
individual,RENT,19.03,7500
individual,MORTGAGE,7.97,7000
joint,RENT,17.09,24000
individual,RENT,14.08,6000
individual,MORTGAGE,15.04,4800
joint,RENT,21.45,5000
individual,MORTGAGE,9.44,5600
joint,MORTGAGE,9.93,21000
individual,OWN,14.08,21275
joint,MORTGAGE,15.05,35000
individual,RENT,15.05,24000
individual,RENT,9.44,5000
individual,MORTGAGE,5.31,20000
individual,MORTGAGE,10.42,18000
individual,MORTGAGE,6.72,3500
individual,RENT,17.09,18000
individual,RENT,14.07,10000
individual,RENT,13.59,24000
individual,OWN,15.04,35000
individual,MORTGAGE,11.98,10000
individual,MORTGAGE,9.92,24000
joint,OWN,15.04,25000
individual,RENT,17.47,30000
individual,RENT,6.07,20800
individual,RENT,11.99,20000
joint,MORTGAGE,14.07,4000
individual,MORTGAGE,6.08,30000
individual,RENT,13.58,1200
individual,RENT,5.32,30000
individual,MORTGAGE,15.04,13600
individual,RENT,10.42,27000
individual,RENT,7.35,8000
individual,MORTGAGE,13.58,20000
joint,OWN,7.35,9600
individual,RENT,7.34,10000
individual,OWN,10.42,30000
individual,MORTGAGE,11.98,35000
joint,MORTGAGE,16.02,8000
individual,MORTGAGE,12.61,4000
individual,RENT,9.44,23100
joint,MORTGAGE,19.03,24000
joint,MORTGAGE,14.08,33100
individual,RENT,9.44,15000
individual,MORTGAGE,9.93,8000
individual,RENT,30.79,15000
individual,MORTGAGE,18.45,30000
individual,RENT,9.93,5000
individual,MORTGAGE,16.02,10000
individual,MORTGAGE,9.44,6500
joint,MORTGAGE,16.02,10000
individual,RENT,14.07,28000
individual,OWN,17.09,30000
joint,OWN,12.62,6000
individual,RENT,16.01,30000
individual,RENT,10.91,10000
individual,OWN,16.02,30000
individual,OWN,11.98,7000
individual,OWN,7.35,40000
individual,RENT,15.04,5000
individual,MORTGAGE,13.58,12000
individual,MORTGAGE,7.97,10000
joint,MORTGAGE,20.39,16000
individual,MORTGAGE,10.42,2000
individual,MORTGAGE,7.97,13000
individual,MORTGAGE,9.93,25000
individual,MORTGAGE,19.03,10000
individual,RENT,10.42,5000
individual,RENT,7.35,16000
individual,OWN,15.05,12000
individual,MORTGAGE,13.59,8500
individual,MORTGAGE,5.31,40000
individual,MORTGAGE,21.45,20000
joint,RENT,26.3,32000
joint,MORTGAGE,6.08,29825
individual,MORTGAGE,18.06,2500
individual,RENT,7.96,12000
individual,RENT,20.0,8000
individual,RENT,12.61,20000
individual,OWN,6.08,6000
individual,OWN,13.58,6000
individual,RENT,15.05,20000
individual,MORTGAGE,5.31,16000
individual,MORTGAGE,7.35,24000
individual,MORTGAGE,7.34,6000
individual,RENT,7.97,12000
individual,OWN,19.03,35000
joint,MORTGAGE,16.02,22000
individual,MORTGAGE,11.98,2000
individual,MORTGAGE,6.08,10000
individual,RENT,7.96,10000
individual,MORTGAGE,13.59,10000
individual,RENT,30.79,25000
individual,RENT,13.58,10000
individual,RENT,14.08,8000
individual,MORTGAGE,6.08,20000
individual,RENT,7.35,20000
individual,OWN,12.61,6000
individual,RENT,10.42,9000
individual,MORTGAGE,14.08,15000
individual,MORTGAGE,9.93,15000
joint,MORTGAGE,5.32,4000
individual,RENT,11.99,24000
individual,MORTGAGE,11.99,28000
individual,RENT,10.9,4000
individual,RENT,19.03,14000
individual,RENT,26.3,5000
individual,MORTGAGE,6.72,20000
individual,OWN,14.08,40000
individual,RENT,15.05,7000
individual,MORTGAGE,16.02,26475
individual,MORTGAGE,9.93,35000
individual,RENT,16.02,21000
individual,RENT,10.42,12000
individual,RENT,15.05,5000
individual,MORTGAGE,7.97,4850
individual,RENT,9.43,24000
individual,RENT,13.58,20000
individual,OWN,15.05,35000
individual,RENT,13.58,16000
individual,MORTGAGE,7.34,12000
individual,MORTGAGE,13.59,14000
joint,RENT,11.99,20000
individual,RENT,21.85,22000
individual,RENT,7.35,12000
individual,RENT,20.0,18125
individual,MORTGAGE,21.45,32000
individual,MORTGAGE,12.61,30000
individual,MORTGAGE,12.62,15000
individual,RENT,20.39,10000
individual,MORTGAGE,5.32,22000
individual,RENT,12.61,25000
individual,MORTGAGE,5.31,16000
individual,OWN,10.91,10000
joint,MORTGAGE,15.05,7200
individual,MORTGAGE,10.91,25000
individual,RENT,17.47,12000
individual,RENT,7.97,3600
joint,RENT,7.35,4800
joint,RENT,9.44,5600
individual,OWN,14.07,12000
joint,MORTGAGE,18.06,14000
joint,MORTGAGE,26.77,23000
individual,MORTGAGE,12.62,13000
individual,MORTGAGE,7.35,10000
individual,RENT,12.61,25000
joint,MORTGAGE,5.32,10000
joint,RENT,12.62,4200
individual,MORTGAGE,9.93,12000
individual,OWN,19.42,20000
individual,MORTGAGE,9.92,15000
individual,RENT,5.31,15000
individual,RENT,10.41,10200
individual,RENT,17.47,8000
individual,RENT,21.45,16000
individual,OWN,5.32,6000
individual,MORTGAGE,7.35,28000
individual,MORTGAGE,9.43,24200
individual,RENT,12.62,9600
individual,RENT,10.41,11200
individual,MORTGAGE,10.42,12000
individual,MORTGAGE,10.41,18000
individual,MORTGAGE,16.01,12000
individual,MORTGAGE,13.59,12800
individual,MORTGAGE,14.08,8000
joint,OWN,6.72,4200
individual,OWN,25.82,28000
individual,MORTGAGE,24.85,20000
individual,MORTGAGE,7.96,4500
joint,OWN,10.9,23025
individual,MORTGAGE,7.34,13000
individual,OWN,16.02,3500
individual,OWN,10.91,2500
individual,OWN,11.98,30000
joint,MORTGAGE,11.99,24000
joint,OWN,6.07,24000
joint,MORTGAGE,15.05,32000
individual,RENT,21.45,16000
individual,OWN,6.08,22000
joint,RENT,12.61,2000
joint,RENT,10.42,26000
individual,MORTGAGE,6.72,15000
individual,RENT,14.08,35000
individual,MORTGAGE,6.08,5000
individual,RENT,7.96,12000
individual,MORTGAGE,16.02,3500
individual,RENT,19.03,1600
individual,OWN,7.34,32000
individual,MORTGAGE,7.97,5000
individual,RENT,17.09,16000
joint,MORTGAGE,9.93,32000
individual,RENT,11.98,26000
individual,MORTGAGE,9.44,10000
individual,MORTGAGE,11.98,23000
individual,RENT,9.93,7000
individual,MORTGAGE,12.62,6500
individual,MORTGAGE,15.04,20000
individual,MORTGAGE,19.03,13300
joint,MORTGAGE,19.03,11525
individual,RENT,11.98,18000
individual,RENT,10.41,3000
individual,MORTGAGE,7.34,20000
individual,RENT,17.09,35000
individual,OWN,5.31,15000
individual,MORTGAGE,6.07,15000
individual,MORTGAGE,16.02,15000
individual,RENT,7.34,7000
individual,MORTGAGE,15.04,3000
individual,MORTGAGE,11.99,36000
individual,RENT,11.99,4000
individual,OWN,26.3,12000
individual,MORTGAGE,6.71,22000
individual,RENT,13.59,20000
individual,MORTGAGE,20.39,35000
individual,RENT,5.31,15000
individual,OWN,6.72,6000
individual,RENT,19.03,25000
individual,MORTGAGE,12.61,40000
individual,MORTGAGE,16.02,32000
individual,MORTGAGE,17.09,30000
individual,RENT,20.0,21000
joint,OWN,12.62,20000
joint,MORTGAGE,15.05,27000
individual,RENT,6.71,10000
individual,MORTGAGE,16.02,20000
individual,RENT,10.91,6000
individual,OWN,7.34,12000
individual,RENT,14.08,30000
joint,RENT,6.72,17500
joint,RENT,15.05,40000
individual,OWN,7.35,5000
individual,RENT,7.97,7000
individual,MORTGAGE,9.43,2000
individual,MORTGAGE,10.9,20000
joint,MORTGAGE,6.72,7000
joint,MORTGAGE,9.93,35000
joint,OWN,7.34,5000
joint,MORTGAGE,14.08,12800
individual,RENT,19.42,10000
individual,MORTGAGE,7.97,5000
individual,OWN,10.9,5000
individual,RENT,9.44,4500
individual,MORTGAGE,10.91,15000
joint,MORTGAGE,9.43,7500
individual,OWN,19.42,10000
joint,RENT,24.85,19000
individual,OWN,12.61,20000
individual,RENT,13.58,5000
joint,RENT,21.45,11000
individual,MORTGAGE,12.61,3600
individual,MORTGAGE,13.59,16000
individual,OWN,21.45,10000
joint,OWN,16.02,6000
individual,MORTGAGE,15.04,15000
individual,RENT,10.9,5000
individual,RENT,13.59,9000
joint,MORTGAGE,12.62,3500
individual,OWN,7.97,3000
individual,MORTGAGE,12.62,12000
individual,MORTGAGE,17.09,18000
individual,MORTGAGE,20.0,31200
joint,RENT,19.42,14500
individual,MORTGAGE,9.44,4000
individual,RENT,20.39,5000
individual,MORTGAGE,17.09,24000
individual,RENT,10.9,30000
joint,MORTGAGE,16.01,10000
individual,MORTGAGE,17.09,22000
individual,OWN,9.93,25000
individual,RENT,9.43,10000
individual,MORTGAGE,6.72,10000
individual,OWN,17.09,19600
individual,MORTGAGE,15.05,15000
individual,OWN,10.9,30000
individual,RENT,9.93,15000
individual,RENT,12.61,18825
joint,OWN,9.93,5300
individual,RENT,15.05,7000
individual,MORTGAGE,6.72,3600
individual,MORTGAGE,9.44,4000
individual,RENT,25.81,21000
individual,MORTGAGE,10.42,25000
individual,RENT,13.59,20000
individual,MORTGAGE,6.72,14000
individual,OWN,10.9,24000
individual,MORTGAGE,9.93,40000
individual,MORTGAGE,7.96,35000
individual,RENT,13.59,15000
individual,RENT,10.41,10000
individual,RENT,9.93,36000
individual,MORTGAGE,7.97,25000
individual,MORTGAGE,10.91,6000
individual,MORTGAGE,9.92,9000
individual,RENT,15.04,6000
joint,MORTGAGE,13.58,5000
joint,MORTGAGE,15.04,7500
individual,MORTGAGE,7.35,34725
individual,RENT,9.93,12000
joint,RENT,25.82,3000
individual,RENT,6.07,15000
individual,RENT,14.08,30000
individual,RENT,7.97,9000
individual,MORTGAGE,10.91,20000
individual,MORTGAGE,11.99,10000
individual,MORTGAGE,6.72,30000
individual,MORTGAGE,10.41,6500
individual,RENT,6.71,6000
individual,RENT,5.31,20000
individual,MORTGAGE,10.9,25000
individual,MORTGAGE,6.71,8000
individual,MORTGAGE,13.59,6025
individual,RENT,10.91,20000
individual,RENT,13.59,35000
individual,OWN,14.07,6500
individual,MORTGAGE,10.42,5000
individual,RENT,19.42,12000
joint,MORTGAGE,16.01,18000
individual,OWN,9.43,25000
individual,OWN,14.07,20000
individual,MORTGAGE,5.32,12000
individual,MORTGAGE,6.72,2700
individual,MORTGAGE,12.61,14000
joint,MORTGAGE,17.09,15000
individual,RENT,12.61,40000
joint,RENT,14.08,18000
individual,MORTGAGE,17.09,20000
individual,MORTGAGE,6.72,9500
individual,MORTGAGE,9.93,32400
individual,MORTGAGE,10.42,12000
joint,MORTGAGE,9.44,36000
individual,MORTGAGE,5.32,35925
individual,MORTGAGE,13.58,12000
individual,MORTGAGE,6.08,40000
individual,RENT,10.91,10000
individual,MORTGAGE,12.61,28000
individual,RENT,20.39,30000
individual,RENT,12.62,14000
individual,MORTGAGE,19.03,12000
individual,RENT,7.35,20000
individual,RENT,12.62,40000
individual,MORTGAGE,6.71,25000
individual,MORTGAGE,10.42,40000
individual,RENT,6.07,11000
joint,MORTGAGE,19.42,16000
individual,OWN,7.34,5000
individual,MORTGAGE,17.09,5000
joint,MORTGAGE,16.01,1500
individual,MORTGAGE,6.08,9000
individual,OWN,7.34,5000
joint,RENT,9.43,1800
individual,OWN,9.93,27900
individual,MORTGAGE,18.45,24000
individual,RENT,10.42,5000
individual,OWN,15.05,28000
individual,MORTGAGE,6.08,12000
individual,RENT,10.42,5000
individual,MORTGAGE,21.85,12200
joint,OWN,15.05,23800
individual,MORTGAGE,13.59,40000
individual,MORTGAGE,5.31,25000
individual,OWN,10.41,6000
individual,RENT,9.44,12000
joint,MORTGAGE,26.77,35000
individual,MORTGAGE,10.91,6000
individual,MORTGAGE,23.87,20000
individual,MORTGAGE,11.99,4200
individual,MORTGAGE,6.07,15000
individual,MORTGAGE,14.08,20000
joint,MORTGAGE,9.43,15000
joint,MORTGAGE,18.45,4500
individual,RENT,10.91,10000
individual,MORTGAGE,16.02,5000
individual,MORTGAGE,9.43,25000
individual,MORTGAGE,10.9,35000
individual,MORTGAGE,17.09,5500
individual,RENT,19.03,12000
individual,RENT,10.91,15000
individual,MORTGAGE,6.72,3600
individual,RENT,5.32,10000
individual,OWN,6.72,6000
joint,MORTGAGE,12.62,20000
individual,RENT,11.99,10000
individual,OWN,24.85,15000
individual,RENT,10.42,13000
joint,RENT,10.91,6000
individual,RENT,9.93,8500
individual,RENT,19.03,24000
individual,MORTGAGE,6.08,5000
joint,MORTGAGE,14.08,12800
individual,RENT,12.61,12600
individual,OWN,6.08,35000
individual,OWN,17.09,22400
individual,MORTGAGE,16.01,16000
individual,RENT,10.91,31500
individual,RENT,14.08,4000
individual,MORTGAGE,18.06,16000
individual,RENT,15.04,8500
individual,MORTGAGE,15.04,11000
individual,RENT,10.91,6500
individual,OWN,10.91,8000
individual,MORTGAGE,19.03,20000
individual,OWN,17.09,35000
joint,MORTGAGE,9.93,36000
individual,MORTGAGE,10.9,25000
individual,RENT,10.9,2500
individual,RENT,6.72,26000
individual,RENT,17.09,15000
joint,MORTGAGE,16.02,23000
individual,MORTGAGE,13.58,19200
individual,OWN,11.99,15000
individual,RENT,9.92,3400
joint,MORTGAGE,6.72,34100
joint,MORTGAGE,12.62,35000
individual,MORTGAGE,11.98,30000
individual,MORTGAGE,5.32,3625
individual,RENT,10.9,15000
individual,OWN,21.45,28525
individual,OWN,16.02,3500
individual,MORTGAGE,6.07,40000
joint,RENT,7.35,20000
individual,OWN,10.91,14000
individual,MORTGAGE,6.72,20000
individual,MORTGAGE,7.97,10000
individual,OWN,10.41,10000
individual,RENT,17.47,16000
individual,RENT,16.02,16350
joint,RENT,9.93,15000
individual,RENT,16.01,10000
joint,MORTGAGE,16.02,16000
joint,RENT,12.61,15000
individual,RENT,7.35,12000
individual,MORTGAGE,25.81,21150
individual,RENT,5.31,22500
individual,RENT,14.08,14000
individual,RENT,7.35,23000
individual,RENT,19.03,30000
individual,RENT,13.58,15000
individual,RENT,16.02,7200
joint,RENT,13.59,10000
joint,MORTGAGE,6.08,12000
individual,MORTGAGE,14.08,20000
individual,MORTGAGE,12.61,25000
individual,OWN,5.32,9500
individual,MORTGAGE,10.91,5000
individual,MORTGAGE,14.08,12000
individual,MORTGAGE,12.62,18000
individual,MORTGAGE,15.05,21000
individual,MORTGAGE,11.99,16000
individual,MORTGAGE,19.03,5600
individual,RENT,10.91,14775
individual,RENT,13.59,15000
individual,RENT,19.03,10000
individual,OWN,16.01,25000
individual,OWN,11.99,20000
individual,MORTGAGE,7.35,15000
individual,RENT,10.42,10000
joint,OWN,16.02,10000
individual,OWN,9.43,8000
individual,MORTGAGE,9.93,11200
individual,MORTGAGE,9.43,20000
individual,RENT,11.99,10000
individual,RENT,12.61,1500
individual,RENT,5.31,15000
individual,MORTGAGE,18.06,14400
individual,MORTGAGE,24.85,17000
individual,RENT,14.08,35000
individual,OWN,21.45,20000
joint,MORTGAGE,15.05,27850
individual,MORTGAGE,16.01,20000
joint,MORTGAGE,6.07,32000
individual,RENT,19.42,32200
joint,MORTGAGE,7.34,7200
individual,MORTGAGE,6.08,15000
individual,MORTGAGE,16.01,20000
individual,RENT,10.9,12000
individual,OWN,16.01,8000
individual,RENT,9.44,15000
joint,RENT,19.03,10000
joint,MORTGAGE,13.59,12050
joint,RENT,17.47,30000
joint,RENT,19.03,30000
individual,RENT,14.07,10000
individual,MORTGAGE,16.01,11000
individual,RENT,10.9,10000
joint,MORTGAGE,15.05,7200
individual,MORTGAGE,13.59,2000
joint,MORTGAGE,9.44,40000
individual,MORTGAGE,9.44,15000
joint,MORTGAGE,5.32,28000
individual,OWN,5.31,6000
individual,MORTGAGE,9.92,11200
individual,MORTGAGE,12.62,15000
individual,RENT,12.61,7200
joint,OWN,6.08,35000
individual,MORTGAGE,15.05,40000
individual,OWN,6.71,17000
individual,MORTGAGE,19.03,2000
individual,RENT,10.42,10000
individual,MORTGAGE,11.99,30000
individual,MORTGAGE,18.06,30600
individual,OWN,7.34,6000
joint,MORTGAGE,7.34,40000
individual,MORTGAGE,10.91,4000
individual,MORTGAGE,6.71,9200
individual,RENT,15.05,8675
individual,OWN,6.71,20000
individual,MORTGAGE,6.07,4000
joint,MORTGAGE,9.92,10000
individual,OWN,18.45,12000
individual,MORTGAGE,7.35,4000
individual,RENT,7.97,5000
individual,MORTGAGE,9.44,25000
individual,RENT,13.59,10200
individual,OWN,18.45,21600
individual,MORTGAGE,12.62,12000
individual,OWN,15.04,12000
individual,MORTGAGE,10.91,27225
joint,MORTGAGE,17.09,35000
individual,RENT,6.72,6500
joint,RENT,21.85,10000
individual,RENT,15.05,30000
individual,MORTGAGE,19.03,6000
individual,RENT,6.08,3000
individual,MORTGAGE,18.06,23000
joint,OWN,9.92,12000
individual,OWN,6.07,7000
individual,RENT,18.45,6000
joint,MORTGAGE,12.62,25600
individual,MORTGAGE,7.35,33500
individual,RENT,6.07,12000
joint,MORTGAGE,14.08,20400
individual,MORTGAGE,13.58,35000
individual,OWN,12.62,29000
individual,RENT,10.42,6400
individual,OWN,10.91,10000
individual,MORTGAGE,7.35,15000
individual,RENT,11.99,12000
individual,MORTGAGE,9.43,16000
joint,MORTGAGE,16.02,34000
individual,MORTGAGE,12.62,14000
individual,RENT,16.02,10000
individual,MORTGAGE,16.01,12000
individual,MORTGAGE,5.31,17000
joint,MORTGAGE,7.35,17500
individual,MORTGAGE,9.93,12000
individual,MORTGAGE,14.08,19000
individual,RENT,12.61,12000
individual,MORTGAGE,15.05,18000
individual,MORTGAGE,12.62,18000
individual,RENT,14.08,16000
individual,MORTGAGE,6.71,11000
individual,MORTGAGE,6.72,6000
individual,RENT,12.61,7000
individual,OWN,9.43,9600
individual,RENT,15.05,30000
individual,MORTGAGE,9.92,20000
individual,MORTGAGE,16.02,8000
individual,MORTGAGE,13.59,23000
individual,RENT,10.91,15675
individual,RENT,9.43,30000
individual,MORTGAGE,18.45,8400
individual,RENT,9.44,2400
individual,RENT,6.08,10000
individual,RENT,15.05,10500
individual,MORTGAGE,9.93,28000
individual,RENT,19.03,30000
individual,RENT,14.08,6400
joint,RENT,18.06,22000
individual,MORTGAGE,5.32,17000
individual,MORTGAGE,6.08,35000
individual,RENT,5.32,10000
individual,MORTGAGE,7.97,5000
individual,OWN,7.35,21000
individual,RENT,7.34,3000
individual,MORTGAGE,11.99,15000
individual,RENT,7.97,40000
individual,RENT,14.08,5000
individual,RENT,10.42,20000
individual,MORTGAGE,7.35,6500
individual,MORTGAGE,14.08,3600
joint,RENT,26.3,10000
individual,MORTGAGE,6.71,12000
individual,MORTGAGE,9.43,11000
individual,MORTGAGE,11.98,20000
individual,RENT,9.43,40000
individual,RENT,10.9,25000
individual,MORTGAGE,12.62,12000
individual,MORTGAGE,5.32,23650
individual,MORTGAGE,21.85,28000
individual,OWN,9.43,16000
individual,RENT,9.44,18000
individual,MORTGAGE,6.72,34750
individual,RENT,9.44,13000
individual,RENT,16.02,5000
individual,OWN,6.71,21000
joint,MORTGAGE,13.59,12000
joint,RENT,12.61,5000
individual,RENT,19.03,15000
individual,MORTGAGE,13.59,28000
individual,RENT,16.02,4000
joint,MORTGAGE,26.3,16000
individual,RENT,10.91,5000
individual,MORTGAGE,6.08,6000
individual,MORTGAGE,12.61,12000
